,Open Price,Close Price,High Price,Low Price,Volume,target,Year,Month,Day,Dayofweek
0,902.99,931.8,934.73,899.35,4048270080,0,2009,1,2,4
1,929.17,927.45,936.63,919.53,5413910016,1,2009,1,5,0
2,931.17,934.7,943.85,927.28,5392620032,0,2009,1,6,1
3,927.45,906.65,927.45,902.37,4704940032,1,2009,1,7,2
4,905.73,909.73,910.0,896.81,4991549952,0,2009,1,8,3
5,909.91,890.35,911.93,888.31,4716499968,0,2009,1,9,4
6,890.4,870.26,890.4,864.32,4725049856,1,2009,1,12,0
7,869.79,871.79,877.02,862.02,5017469952,0,2009,1,13,1
8,867.28,842.62,867.28,836.93,5407880192,1,2009,1,14,2
9,841.99,843.74,851.59,817.04,7807350272,1,2009,1,15,3
10,844.45,850.12,858.13,830.66,6786039808,0,2009,1,16,4
11,849.64,805.22,849.64,804.47,6375229952,1,2009,1,20,1
12,806.77,840.24,841.72,804.3,6467829760,0,2009,1,21,2
13,839.74,827.5,839.74,811.29,5843829760,1,2009,1,22,3
14,822.16,831.95,838.61,806.07,5832160256,1,2009,1,23,4
15,832.5,836.57,852.53,827.69,6039940096,1,2009,1,26,0
16,837.3,845.71,850.45,835.4,5353260032,1,2009,1,27,1
17,845.73,874.09,877.86,845.73,6199179776,0,2009,1,28,2
18,868.89,845.14,868.89,844.15,5067060224,0,2009,1,29,3
19,845.69,825.88,851.66,821.67,5350580224,0,2009,1,30,4
20,823.09,825.44,830.78,812.87,5673269760,1,2009,2,2,0
21,825.69,838.51,842.6,821.98,5886309888,0,2009,2,3,1
22,837.77,832.23,851.85,829.18,6420449792,1,2009,2,4,2
23,831.75,845.85,850.55,819.91,6624030208,1,2009,2,5,3
24,846.09,868.6,870.75,845.42,6484100096,1,2009,2,6,4
25,868.24,869.89,875.01,861.65,5574369792,0,2009,2,9,0
26,866.87,827.16,868.05,822.99,6770169856,1,2009,2,10,1
27,827.41,833.74,838.22,822.3,5926459904,1,2009,2,11,2
28,829.91,835.19,835.48,808.06,6476460032,0,2009,2,12,3
29,833.95,826.84,839.43,825.21,5296650240,0,2009,2,13,4
30,818.61,789.17,818.61,789.17,5907820032,0,2009,2,17,1
31,791.06,788.42,796.17,780.43,5740709888,0,2009,2,18,2
32,787.91,778.94,797.58,777.03,5746939904,0,2009,2,19,3
33,775.87,770.05,778.69,754.25,8210590208,0,2009,2,20,4
34,773.25,743.33,777.85,742.37,6509300224,1,2009,2,23,0
35,744.69,773.14,775.49,744.69,7234489344,0,2009,2,24,1
36,770.64,764.9,780.12,752.89,7483639808,0,2009,2,25,2
37,765.76,752.83,779.42,751.75,7599969792,0,2009,2,26,3
38,749.93,735.09,751.27,734.52,8926480384,0,2009,2,27,4
39,729.57,700.82,729.57,699.7,7868289536,0,2009,3,2,0
40,704.44,696.33,711.67,692.3,7583230464,1,2009,3,3,1
41,698.6,712.87,724.12,698.6,7673619968,0,2009,3,4,2
42,708.27,682.55,708.27,677.93,7507249664,1,2009,3,5,3
43,684.04,683.38,699.09,666.79,7331830272,0,2009,3,6,4
44,680.76,676.53,695.27,672.88,7277320192,1,2009,3,9,0
45,679.28,719.6,719.6,679.28,8618330112,1,2009,3,10,1
46,719.59,721.36,731.92,713.85,7287809536,1,2009,3,11,2
47,720.89,750.74,752.63,714.76,7326630400,1,2009,3,12,3
48,751.97,756.55,758.29,742.46,6787089408,0,2009,3,13,4
49,758.84,753.89,774.53,753.37,7883539968,1,2009,3,16,0
50,753.88,778.12,778.12,749.93,6156800000,1,2009,3,17,1
51,776.01,794.35,803.04,765.64,9098449920,0,2009,3,18,2
52,797.92,784.04,803.24,781.82,9033870336,0,2009,3,19,3
53,784.58,768.54,788.91,766.2,7643720192,1,2009,3,20,4
54,772.31,822.92,823.37,772.31,7715769344,0,2009,3,23,0
55,820.6,806.12,823.65,805.48,6767980032,1,2009,3,24,1
56,806.81,813.88,826.78,791.37,7687179776,1,2009,3,25,2
57,814.06,832.86,832.98,814.06,6992960000,0,2009,3,26,3
58,828.68,815.94,828.68,813.43,5600209920,0,2009,3,27,4
59,809.07,787.53,809.07,779.81,5912659968,1,2009,3,30,0
60,790.88,797.87,810.48,790.88,6089099776,1,2009,3,31,1
61,793.59,811.08,813.62,783.32,6034140160,1,2009,4,1,2
62,814.53,834.38,845.61,814.53,7542809600,1,2009,4,2,3
63,835.13,842.5,842.5,826.7,5855640064,0,2009,4,3,4
64,839.75,835.48,839.75,822.79,6209999872,0,2009,4,6,0
65,834.12,815.55,834.12,814.53,5155579904,1,2009,4,7,1
66,816.76,825.16,828.42,814.84,5938460160,1,2009,4,8,2
67,829.29,856.56,856.91,829.29,7600710656,1,2009,4,9,3
68,855.33,858.73,864.31,845.35,6434890240,0,2009,4,13,0
69,856.88,841.5,856.88,840.25,7569840128,1,2009,4,14,1
70,839.44,852.06,852.93,835.58,6241099776,1,2009,4,15,2
71,854.54,865.3,870.35,847.04,6598669824,1,2009,4,16,3
72,865.18,869.6,875.63,860.87,7352009728,0,2009,4,17,4
73,868.27,832.39,868.27,832.39,6973960192,1,2009,4,20,0
74,831.25,850.08,850.09,826.83,7436489728,0,2009,4,21,1
75,847.26,843.55,861.78,840.57,7327860224,1,2009,4,22,2
76,844.62,851.92,852.87,835.45,6563100160,1,2009,4,23,3
77,853.91,866.23,871.8,853.91,7114440192,0,2009,4,24,4
78,862.82,857.51,868.83,854.65,5613459968,0,2009,4,27,0
79,854.48,855.16,864.48,847.12,6328000000,1,2009,4,28,1
80,856.85,873.64,882.06,856.85,6101620224,0,2009,4,29,2
81,876.59,872.81,888.7,868.51,6862539776,1,2009,4,30,3
82,872.74,877.52,880.48,866.1,5312169984,1,2009,5,1,4
83,879.21,907.24,907.85,879.21,7038839808,0,2009,5,4,0
84,906.1,903.8,907.7,897.34,6882860032,1,2009,5,5,1
85,903.95,919.53,920.28,903.95,8555039744,0,2009,5,6,2
86,919.58,907.39,929.58,901.36,9120100352,1,2009,5,7,3
87,909.03,929.23,930.17,909.03,8163279872,0,2009,5,8,4
88,922.99,909.24,922.99,908.68,6150600192,0,2009,5,11,0
89,910.52,908.35,915.57,896.46,6871750656,0,2009,5,12,1
90,905.4,883.92,905.4,882.8,7091820032,1,2009,5,13,2
91,884.24,893.07,898.36,882.52,6134870016,0,2009,5,14,3
92,892.76,882.88,896.97,878.94,5439719936,1,2009,5,15,4
93,886.07,909.71,910.0,886.07,5702150144,0,2009,5,18,0
94,909.67,908.13,916.39,905.22,6616269824,0,2009,5,19,1
95,908.62,903.47,924.6,901.37,8205060096,0,2009,5,20,2
96,900.42,888.33,900.42,879.61,6019840000,0,2009,5,21,3
97,888.68,887.0,896.65,883.75,5155319808,1,2009,5,22,4
98,887.0,910.33,911.76,881.46,5667049984,0,2009,5,26,1
99,909.95,893.06,913.84,891.87,5698800128,1,2009,5,27,2
